,Year,kms Driven,Fuel Type,Suspension,Price,Car Model
0,2019,1,Petrol,Automatic,1,Honda City V
1,2021,1,Petrol,Automatic,1,Honda City ZX
2,2018,2,Petrol,Automatic,1,Honda City i-VTEC
3,2020,1,Petrol,Automatic,1,Honda City ZX
4,2015,1,Petrol,Manual,1,Honda City i
5,2015,1,Diesel,Manual,1,Honda City i
6,2016,5,Diesel,Manual,1,Honda Jazz 1.5
7,2014,7,Diesel,Manual,1,Honda City i
8,2017,8,Petrol,Manual,1,Honda WR-V i-VTEC
9,2019,3,Petrol,Automatic,1,Honda Amaze V
10,2021,1,Petrol,Automatic,1,Honda City ZX
11,2017,3,Petrol,Automatic,1,Honda City i-VTEC
12,2020,1,Petrol,Automatic,1,Honda City ZX
13,2016,6,Petrol,Manual,1,Honda Jazz 1.2
14,2018,2,Petrol,Automatic,1,Honda City ZX
15,2022,5,Petrol,Automatic,1,Honda City ZX
16,2021,1,Petrol,Manual,1,Honda City VX
17,2015,3,Petrol,Manual,1,Honda City i
18,2013,2,Petrol,Manual,1,Honda Amaze S
19,2016,2,Petrol,Automatic,1,Honda Jazz 1.2
20,2017,5,Petrol,Manual,1,Honda City i
21,2020,3,Petrol,Manual,1,Honda Amaze S
22,2018,3,Petrol,Manual,1,Honda WR-V i-VTEC
23,2017,8,Diesel,Manual,1,Honda WR-V i-DTEC
24,2015,4,Diesel,Manual,1,Honda Jazz 1.5
25,2017,1,Diesel,Manual,1,Honda WR-V i-DTEC
26,2018,1,Diesel,Manual,1,Honda Amaze S
27,2015,9,Petrol,Manual,1,Honda City i
28,2014,9,Diesel,Manual,1,Honda Amaze S
29,2014,9,Diesel,Manual,1,Honda City i
30,2014,8,Petrol,Manual,1,Honda City i
31,2014,1,Diesel,Manual,1,Honda City i
32,2017,4,Petrol,Manual,1,Honda City i
33,2021,5,Petrol,Automatic,1,Honda City VX
34,2013,5,Petrol,Manual,1,Honda Brio S
35,2012,8,Petrol,Manual,1,Honda Brio S
36,2021,5,Petrol,Automatic,1,Honda City ZX
37,2018,3,Petrol,Manual,1,Honda Brio 1.2
38,2019,6,Diesel,Automatic,1,Honda Amaze V
39,2017,8,Petrol,Manual,1,Honda City i
40,2015,7,Petrol,Manual,1,Honda City i
41,2016,7,Petrol,Manual,1,Honda Jazz 1.2
42,2015,2,Petrol,Manual,1,Honda Brio S
43,2015,1,Petrol,Automatic,1,Honda Amaze VX
44,2010,5,Petrol,Manual,1,Honda City V
45,2015,8,Diesel,Manual,1,Honda Amaze VX
46,2013,1,Petrol,Manual,1,Honda Brio S
47,2010,1,Petrol,Manual,1,Honda City V
48,2020,2,Petrol,Manual,1,Honda City ZX
49,2020,1,Petrol,Manual,1,Honda City ZX
50,2014,9,Petrol,Manual,1,Honda City i
51,2019,2,Petrol,Automatic,1,Honda Amaze V
52,2010,8,Petrol,Manual,1,Honda City V
53,2017,2,Petrol,Manual,1,Honda Brio 1.2
54,2018,8,Diesel,Manual,1,Honda Amaze E
55,2015,7,Petrol,Automatic,1,Honda City i
56,2015,7,Diesel,Manual,1,Honda City i
57,2013,1,Petrol,Manual,1,Honda Amaze VX
58,2016,5,Petrol,Manual,1,Honda Amaze SX
59,2015,8,CNG,Manual,1,Honda Amaze S
60,2015,7,Petrol,Manual,1,Honda Amaze S
61,2014,5,Petrol,Manual,1,Honda City i
62,2014,9,Diesel,Manual,1,Honda City i
63,2015,6,Petrol,Manual,1,Honda City i
64,2014,9,Diesel,Manual,1,Honda Amaze S
65,2014,7,Diesel,Manual,1,Honda Amaze S
66,2011,7,Petrol,Manual,1,Honda City S
67,2010,2,Petrol,Automatic,1,Honda City V
68,2016,2,Petrol,Manual,1,Honda City i
69,2014,1,Diesel,Manual,1,Honda City i
70,2017,2,Petrol,Manual,1,Honda City 1.5
71,2018,4,Petrol,Automatic,1,Honda City i-VTEC
72,2014,1,Diesel,Manual,1,Honda City i
73,2014,1,Diesel,Manual,1,Honda City i
74,2012,7,Petrol,Manual,1,Honda City VTEC
75,2016,6,Petrol,Automatic,1,Honda Jazz V
76,2008,8,Petrol,Automatic,1,Honda City 1.5
77,2013,4,Diesel,Manual,1,Honda Amaze S
78,2011,7,Petrol,Manual,1,Honda City 1.5
79,2016,3,Petrol,Manual,1,Honda City i
80,2010,7,Petrol,Manual,1,Honda City 1.5
81,2014,7,Petrol,Manual,1,Honda Amaze VX
82,2009,1,Petrol,Automatic,1,Honda Accord 2.4
83,2010,5,Petrol,Automatic,1,Honda Accord 2.4
84,2015,8,Diesel,Manual,1,Honda Mobilio S
85,2009,1,Petrol,Manual,1,Honda Civic 1.8
86,2010,6,Petrol,Manual,1,Honda City 1.5
87,2011,3,Petrol,Automatic,1,Honda Accord 2.4
88,2013,5,Petrol,Manual,1,Honda Brio S
89,2015,2,Diesel,Manual,1,Honda Jazz 1.5
90,2013,7,Diesel,Manual,1,Honda Amaze E
91,2017,2,Petrol,Manual,1,Honda Jazz 1.2
92,2014,3,Petrol,Manual,1,Honda City i
93,2017,5,Petrol,Manual,1,Honda Jazz V
94,2019,4,Petrol,Automatic,1,Honda Amaze VX
95,2022,4,Petrol,Manual,1,Honda City ZX
